Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2007,Nelson Cruz,26,307,72,96,-0.1,34,87,21,0.297,0.376,0.46299999999999997
2008,Nelson Cruz,27,115,38,31,1.8,26,28,17,0.388,0.402,0.379
2009,Nelson Cruz,28,462,120,128,3.0,76,118,49,0.278,0.38299999999999995,0.456
2010,Nelson Cruz,29,399,127,108,4.9,78,81,38,0.348,0.37200000000000005,0.449
2011,Nelson Cruz,30,475,125,124,1.4,87,116,33,0.288,0.414,0.428
2012,Nelson Cruz,31,585,152,159,1.1,90,140,48,0.301,0.408,0.408
2013,Nelson Cruz,32,413,110,109,1.6,76,109,35,0.295,0.419,0.41200000000000003
2014,Nelson Cruz,33,613,166,159,3.9,108,140,55,0.288,0.418,0.41
2015,Nelson Cruz,34,590,178,152,5.0,93,164,59,0.35,0.457,0.34
2016,Nelson Cruz,35,589,169,155,4.5,105,159,62,0.32,0.444,0.375
2017,Nelson Cruz,36,556,160,155,3.8,119,140,70,0.315,0.40399999999999997,0.418
2018,Nelson Cruz,37,519,133,144,2.5,97,122,55,0.264,0.44,0.385
2019,Nelson Cruz,38,454,141,120,4.3,108,131,56,0.351,0.396,0.402
2020,Nelson Cruz,39,185,56,53,2.0,33,58,25,0.36,0.465,0.307
2021,Nelson Cruz,40,513,136,140,2.0,86,126,51,0.286,0.429,0.386
2022,Nelson Cruz,41,448,105,124,-0.8,64,119,49,0.295,0.524,0.28300000000000003
