Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Nick Castellanos,21,18,5,11,-0.1,0,1,0,0.294,0.588,0.353
2014,Nick Castellanos,22,533,138,148,0.4,66,140,36,0.326,0.35,0.365
2015,Nick Castellanos,23,549,140,154,0.5,73,152,39,0.322,0.36200000000000004,0.40399999999999997
2016,Nick Castellanos,24,411,117,110,2.4,58,111,28,0.345,0.315,0.43
2017,Nick Castellanos,25,614,167,157,1.5,101,142,41,0.313,0.373,0.382
2018,Nick Castellanos,26,620,185,157,2.2,89,151,49,0.361,0.354,0.358
2019,Nick Castellanos,27,615,178,151,2.6,73,143,41,0.337,0.377,0.396
2020,Nick Castellanos,28,218,49,60,0.3,34,69,19,0.257,0.34700000000000003,0.39299999999999996
2021,Nick Castellanos,29,531,164,138,3.6,100,121,41,0.34,0.375,0.358
2022,Nick Castellanos,30,524,138,136,-0.8,62,130,29,0.326,0.419,0.381
