Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Nolan Arenado,22,486,130,133,1.8,52,72,23,0.296,0.425,0.337
2014,Nolan Arenado,23,432,124,111,2.6,61,58,25,0.294,0.376,0.418
2015,Nolan Arenado,24,616,177,157,4.5,130,110,34,0.284,0.344,0.439
2016,Nolan Arenado,25,618,182,160,5.9,133,103,68,0.293,0.35200000000000004,0.467
2017,Nolan Arenado,26,606,187,159,6.1,130,106,62,0.32,0.34,0.449
2018,Nolan Arenado,27,590,175,156,6.2,110,122,73,0.314,0.39899999999999997,0.38799999999999996
2019,Nolan Arenado,28,588,185,155,6.5,118,93,62,0.312,0.36,0.447
2020,Nolan Arenado,29,182,46,48,0.7,26,20,15,0.241,0.373,0.47
2021,Nolan Arenado,30,593,151,157,4.1,105,96,50,0.249,0.313,0.498
2022,Nolan Arenado,31,557,163,148,7.3,103,72,52,0.29,0.297,0.499
