Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Robbie Grossman,23,257,69,63,0.3,21,70,23,0.353,0.473,0.29600000000000004
2014,Robbie Grossman,24,360,84,103,0.6,37,105,55,0.311,0.413,0.34600000000000003
2015,Robbie Grossman,25,49,7,24,-0.3,5,17,5,0.194,0.5479999999999999,0.387
2016,Robbie Grossman,26,332,93,99,1.0,37,96,55,0.364,0.37799999999999995,0.369
2017,Robbie Grossman,27,382,94,119,0.7,45,79,67,0.287,0.40700000000000003,0.344
2018,Robbie Grossman,28,396,108,129,0.8,48,83,60,0.329,0.387,0.371
2019,Robbie Grossman,29,420,101,138,0.8,38,86,59,0.288,0.406,0.34299999999999997
2020,Robbie Grossman,30,166,40,51,1.6,23,38,21,0.267,0.391,0.38299999999999995
2021,Robbie Grossman,31,557,133,156,2.4,67,155,98,0.286,0.295,0.462
2022,Robbie Grossman,32,411,86,129,-0.3,45,129,56,0.283,0.312,0.446
