Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2007,Robinson Cano,24,617,189,160,4.7,97,85,39,0.329,0.522,0.309
2008,Robinson Cano,25,597,162,159,0.1,72,65,26,0.283,0.474,0.33
2009,Robinson Cano,26,637,204,161,3.7,85,63,30,0.324,0.466,0.33399999999999996
2010,Robinson Cano,27,626,200,160,6.4,109,77,57,0.326,0.442,0.365
2011,Robinson Cano,28,623,188,159,5.2,118,96,38,0.316,0.467,0.31
2012,Robinson Cano,29,627,196,161,7.3,94,96,61,0.326,0.48700000000000004,0.258
2013,Robinson Cano,30,605,190,160,5.9,107,85,65,0.327,0.44299999999999995,0.298
2014,Robinson Cano,31,595,187,157,5.6,82,68,61,0.335,0.526,0.247
2015,Robinson Cano,32,624,179,156,2.8,79,107,43,0.316,0.505,0.253
2016,Robinson Cano,33,655,195,161,6.8,103,100,47,0.299,0.45899999999999996,0.361
2017,Robinson Cano,34,592,166,150,3.2,97,85,49,0.294,0.5,0.306
2018,Robinson Cano,35,310,94,80,3.0,50,47,32,0.329,0.479,0.294
2019,Robinson Cano,36,390,100,107,1.0,39,69,25,0.28,0.489,0.31
2020,Robinson Cano,37,171,54,49,1.3,30,24,9,0.319,0.503,0.259
2022,Robinson Cano,39,100,15,33,-1.4,4,25,4,0.189,0.527,0.284
