Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Salvador Perez,21,148,49,39,0.6,21,20,7,0.362,0.415,0.292
2012,Salvador Perez,22,289,87,76,1.0,39,27,12,0.299,0.442,0.317
2013,Salvador Perez,23,496,145,138,3.5,79,63,21,0.311,0.466,0.32899999999999996
2014,Salvador Perez,24,578,150,150,2.0,70,85,22,0.278,0.391,0.395
2015,Salvador Perez,25,531,138,142,0.8,70,82,13,0.27,0.419,0.374
2016,Salvador Perez,26,514,127,139,0.2,64,119,22,0.28,0.345,0.47100000000000003
2017,Salvador Perez,27,471,126,129,1.4,80,95,17,0.28,0.33299999999999996,0.47
2018,Salvador Perez,28,510,120,129,0.5,80,108,17,0.245,0.34600000000000003,0.45
2020,Salvador Perez,30,150,50,37,1.9,32,36,3,0.375,0.35700000000000004,0.374
2021,Salvador Perez,31,620,169,161,3.3,121,170,28,0.298,0.37200000000000005,0.401
2022,Salvador Perez,32,445,113,114,0.5,76,109,18,0.285,0.36,0.46
