Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Starling Marte,23,167,43,47,0.2,17,50,8,0.333,0.57,0.24600000000000002
2013,Starling Marte,24,510,143,135,4.3,35,138,25,0.363,0.508,0.275
2014,Starling Marte,25,495,144,135,4.5,56,131,33,0.373,0.473,0.292
2015,Starling Marte,26,579,166,153,3.3,81,123,27,0.333,0.5379999999999999,0.22699999999999998
2016,Starling Marte,27,489,152,129,3.7,46,104,23,0.38,0.483,0.284
2017,Starling Marte,28,309,85,77,1.3,31,63,20,0.324,0.49200000000000005,0.298
2018,Starling Marte,29,559,155,145,4.0,72,109,35,0.312,0.507,0.322
2019,Starling Marte,30,539,159,132,3.6,82,94,25,0.319,0.505,0.282
2020,Starling Marte,31,228,64,61,1.2,27,41,12,0.319,0.53,0.27899999999999997
2021,Starling Marte,32,467,145,120,5.5,55,99,43,0.372,0.5479999999999999,0.24100000000000002
2022,Starling Marte,33,466,136,118,3.0,63,97,26,0.34,0.49,0.289
