Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Stephen Vogt,27,25,0,18,-0.5,0,2,2,0.0,0.261,0.652
2013,Stephen Vogt,28,135,34,47,0.3,16,28,9,0.286,0.299,0.45799999999999996
2014,Stephen Vogt,29,269,75,84,1.4,35,39,16,0.297,0.33,0.474
2015,Stephen Vogt,30,445,116,136,1.8,71,97,56,0.29,0.376,0.40399999999999997
2016,Stephen Vogt,31,490,123,137,0.2,56,83,35,0.275,0.303,0.465
2017,Stephen Vogt,32,279,65,99,-0.1,40,56,21,0.249,0.37799999999999995,0.436
2019,Stephen Vogt,34,255,67,99,0.8,40,66,20,0.311,0.26899999999999996,0.48700000000000004
2020,Stephen Vogt,35,72,12,26,0.0,7,18,8,0.204,0.345,0.509
2021,Stephen Vogt,36,210,41,78,0.0,25,56,26,0.23,0.33799999999999997,0.474
2022,Stephen Vogt,37,168,27,70,-0.6,23,46,17,0.168,0.29600000000000004,0.528
