Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Travis d'Arnaud,24,99,20,31,0.2,5,21,12,0.244,0.46799999999999997,0.354
2014,Travis d'Arnaud,25,385,93,108,2.8,41,64,32,0.259,0.41700000000000004,0.386
2015,Travis d'Arnaud,26,239,64,67,3.4,41,49,23,0.289,0.37,0.41700000000000004
2016,Travis d'Arnaud,27,251,62,75,1.0,15,50,19,0.293,0.522,0.308
2017,Travis d'Arnaud,28,348,85,112,1.4,57,59,23,0.25,0.42100000000000004,0.41100000000000003
2018,Travis d'Arnaud,29,15,3,4,0.0,3,5,1,0.222,0.1,0.5
2019,Travis d'Arnaud,30,351,88,103,1.6,69,85,32,0.281,0.408,0.386
2020,Travis d'Arnaud,31,165,53,44,1.6,34,50,16,0.411,0.431,0.302
2021,Travis d'Arnaud,32,209,46,60,0.6,26,53,17,0.26,0.465,0.312
2022,Travis d'Arnaud,33,396,106,107,3.9,60,90,19,0.306,0.451,0.363
