Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Wil Myers,22,335,98,88,2.3,53,91,33,0.362,0.46,0.33899999999999997
2014,Wil Myers,23,325,72,87,-0.1,35,90,34,0.286,0.48100000000000004,0.363
2015,Wil Myers,24,225,57,60,1.0,29,55,27,0.302,0.47600000000000003,0.355
2016,Wil Myers,25,599,155,157,3.4,94,160,68,0.305,0.447,0.33899999999999997
2017,Wil Myers,26,567,138,155,1.3,74,180,70,0.297,0.375,0.429
2018,Wil Myers,27,312,79,83,1.6,39,94,30,0.327,0.436,0.289
2019,Wil Myers,28,435,104,155,0.7,53,168,51,0.344,0.431,0.35100000000000003
2020,Wil Myers,29,198,57,55,2.0,40,56,18,0.331,0.38299999999999995,0.38299999999999995
2021,Wil Myers,30,442,113,146,2.0,63,141,54,0.333,0.44799999999999995,0.375
2022,Wil Myers,31,261,68,77,1.0,41,86,21,0.357,0.40299999999999997,0.381
