Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Wilmer Flores,21,95,20,27,-0.1,13,23,5,0.264,0.507,0.27399999999999997
2014,Wilmer Flores,22,259,65,78,1.2,29,31,12,0.265,0.397,0.402
2015,Wilmer Flores,23,483,127,137,1.7,59,63,19,0.273,0.418,0.371
2016,Wilmer Flores,24,307,82,103,0.7,49,48,23,0.268,0.332,0.45
2017,Wilmer Flores,25,336,91,110,0.5,52,54,17,0.27,0.358,0.45799999999999996
2018,Wilmer Flores,26,386,103,126,0.7,51,42,29,0.269,0.36,0.44799999999999995
2019,Wilmer Flores,27,265,84,89,1.5,37,31,15,0.332,0.37,0.38299999999999995
2020,Wilmer Flores,28,198,53,55,1.0,32,36,13,0.272,0.331,0.436
2021,Wilmer Flores,29,389,102,139,1.5,53,56,41,0.264,0.375,0.41100000000000003
2022,Wilmer Flores,30,525,120,151,1.4,71,103,59,0.246,0.34299999999999997,0.466
