Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Xander Bogaerts,20,44,11,18,0.1,5,13,5,0.323,0.469,0.188
2014,Xander Bogaerts,21,538,129,144,0.1,46,138,39,0.296,0.381,0.413
2015,Xander Bogaerts,22,613,196,156,4.6,81,101,32,0.372,0.529,0.258
2016,Xander Bogaerts,23,652,192,157,3.9,89,123,58,0.335,0.455,0.349
2017,Xander Bogaerts,24,571,156,148,3.1,62,116,56,0.327,0.489,0.305
2018,Xander Bogaerts,25,513,148,136,4.4,103,102,55,0.317,0.433,0.35600000000000004
2019,Xander Bogaerts,26,614,190,155,5.9,117,122,76,0.338,0.41200000000000003,0.39799999999999996
2020,Xander Bogaerts,27,203,61,56,1.6,28,41,21,0.329,0.46,0.36200000000000004
2021,Xander Bogaerts,28,529,156,144,4.3,79,113,62,0.333,0.4,0.374
2022,Xander Bogaerts,29,557,171,150,6.1,73,118,57,0.362,0.46399999999999997,0.318
