Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2007,Yadier Molina,24,353,97,111,1.4,40,43,34,0.295,0.46,0.35100000000000003
2008,Yadier Molina,25,444,135,124,4.5,56,29,32,0.31,0.46,0.331
2009,Yadier Molina,26,481,141,140,5.1,54,39,50,0.309,0.508,0.298
2010,Yadier Molina,27,465,122,136,5.0,62,51,42,0.281,0.511,0.27899999999999997
2011,Yadier Molina,28,475,145,139,5.9,65,44,33,0.311,0.449,0.355
2012,Yadier Molina,29,505,159,138,7.7,76,55,45,0.316,0.4,0.35200000000000004
2013,Yadier Molina,30,505,161,136,7.8,80,55,30,0.338,0.419,0.33799999999999997
2014,Yadier Molina,31,404,114,110,3.4,38,55,28,0.307,0.506,0.266
2015,Yadier Molina,32,488,132,136,2.4,61,59,32,0.295,0.47700000000000004,0.32
2016,Yadier Molina,33,534,164,147,3.6,58,63,39,0.335,0.484,0.297
2017,Yadier Molina,34,501,137,136,2.4,82,74,28,0.285,0.42200000000000004,0.374
2018,Yadier Molina,35,459,120,123,2.4,74,66,29,0.264,0.389,0.369
2019,Yadier Molina,36,419,113,113,1.2,57,58,23,0.289,0.39299999999999996,0.336
2020,Yadier Molina,37,145,38,42,0.5,16,21,6,0.281,0.424,0.368
2021,Yadier Molina,38,440,111,121,1.0,66,79,24,0.283,0.42,0.387
2022,Yadier Molina,39,262,56,80,0.1,24,40,5,0.234,0.381,0.408
