Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Yan Gomes,24,98,20,43,-0.2,13,32,6,0.246,0.478,0.373
2013,Yan Gomes,25,293,86,88,4.3,38,67,18,0.342,0.435,0.387
2014,Yan Gomes,26,485,135,135,5.1,74,120,24,0.326,0.36700000000000005,0.39399999999999996
2015,Yan Gomes,27,363,84,95,0.6,45,104,13,0.285,0.336,0.4
2016,Yan Gomes,28,251,42,74,-0.6,34,69,9,0.189,0.386,0.451
2017,Yan Gomes,29,341,79,105,1.8,56,99,31,0.283,0.40700000000000003,0.419
2018,Yan Gomes,30,403,107,112,2.5,48,119,21,0.336,0.317,0.41100000000000003
2019,Yan Gomes,31,314,70,97,0.8,43,84,38,0.265,0.39399999999999996,0.42
2020,Yan Gomes,32,109,31,30,0.3,13,22,6,0.314,0.35600000000000004,0.4
2021,Yan Gomes,33,349,88,103,1.6,52,78,19,0.287,0.386,0.36
2022,Yan Gomes,34,277,65,86,0.6,31,47,8,0.252,0.45299999999999996,0.32899999999999996
