Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Yasmani Grandal,23,192,57,60,3.8,36,39,31,0.333,0.529,0.303
2013,Yasmani Grandal,24,88,19,28,1.4,9,18,18,0.257,0.479,0.282
2014,Yasmani Grandal,25,377,85,128,2.5,49,115,58,0.277,0.425,0.381
2015,Yasmani Grandal,26,355,83,115,5.2,47,92,65,0.268,0.456,0.373
2016,Yasmani Grandal,27,390,89,126,5.8,72,116,64,0.25,0.447,0.392
2017,Yasmani Grandal,28,438,108,129,4.1,58,130,40,0.298,0.435,0.4
2018,Yasmani Grandal,29,440,106,140,4.6,68,124,72,0.278,0.41100000000000003,0.41700000000000004
2019,Yasmani Grandal,30,513,126,153,5.3,77,139,109,0.279,0.391,0.38
2020,Yasmani Grandal,31,161,37,46,1.6,27,58,30,0.299,0.36200000000000004,0.41
2021,Yasmani Grandal,32,279,67,93,3.6,62,82,87,0.246,0.408,0.40299999999999997
2022,Yasmani Grandal,33,327,66,99,-0.4,27,79,45,0.249,0.428,0.36
