Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2011,Alex Cobb,23,3,2,9,0.9,3.42,6.32,21,0.284
2012,Alex Cobb,24,11,9,23,1.8,4.03,7.0,40,0.295
2013,Alex Cobb,25,11,3,22,2.3,2.76,8.41,45,0.279
2014,Alex Cobb,26,10,9,27,2.5,2.87,8.06,47,0.282
2016,Alex Cobb,28,1,2,5,-0.1,8.59,6.55,7,0.355
2017,Alex Cobb,29,12,10,29,2.2,3.66,6.42,44,0.282
2018,Alex Cobb,30,5,15,28,1.5,4.9,6.03,43,0.303
2019,Alex Cobb,31,0,2,3,-0.6,10.95,5.84,2,0.293
2020,Alex Cobb,32,2,5,10,0.6,4.3,6.54,18,0.275
2021,Alex Cobb,33,8,3,18,2.5,3.76,9.45,33,0.315
2022,Alex Cobb,34,7,8,28,3.7,3.73,9.08,43,0.336
