Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Alex Colome,24,1,1,3,0.0,2.25,6.75,9,0.255
2014,Alex Colome,25,2,0,5,0.2,2.66,4.94,10,0.247
2015,Alex Colome,26,8,5,43,1.8,3.94,7.22,31,0.317
2016,Alex Colome,27,2,4,57,1.1,1.91,11.28,15,0.28
2017,Alex Colome,28,2,3,65,1.2,3.24,7.83,23,0.275
2018,Alex Colome,29,7,5,70,1.0,3.04,9.53,21,0.291
2019,Alex Colome,30,4,5,62,0.7,2.8,8.11,23,0.215
2020,Alex Colome,31,2,0,21,0.6,0.81,6.45,8,0.2
2021,Alex Colome,32,4,4,67,0.1,4.15,8.03,23,0.305
2022,Alex Colome,33,2,7,53,-0.1,5.74,6.13,22,0.333
