Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Alex Wood,22,3,3,31,1.6,3.13,8.92,27,0.333
2014,Alex Wood,23,11,11,35,2.9,2.78,8.91,45,0.295
2015,Alex Wood,24,12,12,32,2.7,3.84,6.6,59,0.313
2016,Alex Wood,25,1,4,14,1.1,3.73,9.85,20,0.317
2017,Alex Wood,26,16,3,27,3.1,2.72,8.92,38,0.267
2018,Alex Wood,27,9,7,33,2.4,3.68,8.01,40,0.293
2019,Alex Wood,28,1,3,7,-0.1,5.8,7.57,9,0.294
2020,Alex Wood,29,0,1,9,0.0,6.39,10.66,6,0.385
2021,Alex Wood,30,10,4,26,2.5,3.83,9.87,39,0.305
2022,Alex Wood,31,8,12,26,1.7,5.1,9.02,30,0.315
