Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2007,Anibal Sanchez,23,2,1,6,0.0,4.8,4.2,19,0.354
2008,Anibal Sanchez,24,2,5,10,0.3,5.57,8.71,27,0.311
2009,Anibal Sanchez,25,4,8,16,0.7,3.87,7.43,46,0.29
2010,Anibal Sanchez,26,13,12,32,4.1,3.55,7.25,70,0.305
2011,Anibal Sanchez,27,8,9,32,3.7,3.67,9.26,64,0.31
2012,Anibal Sanchez,28,9,13,31,3.5,3.86,7.68,48,0.31
2013,Anibal Sanchez,29,14,8,29,5.9,2.57,9.99,54,0.307
2014,Anibal Sanchez,30,8,5,22,3.4,3.43,7.29,30,0.277
2015,Anibal Sanchez,31,10,10,25,1.3,4.99,7.91,49,0.278
2016,Anibal Sanchez,32,7,13,35,1.0,5.87,7.92,53,0.317
2017,Anibal Sanchez,33,3,7,28,0.5,6.41,8.89,29,0.354
2018,Anibal Sanchez,34,7,6,25,2.5,2.83,8.89,42,0.255
2019,Anibal Sanchez,35,11,8,30,2.4,3.85,7.27,58,0.265
2020,Anibal Sanchez,36,4,5,11,0.2,6.62,7.3,18,0.347
2022,Anibal Sanchez,38,4,6,14,-0.2,4.28,6.23,33,0.216
