Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2011,Anthony Bass,23,2,0,27,0.0,1.68,4.47,21,0.255
2012,Anthony Bass,24,2,8,24,1.0,4.73,7.42,39,0.281
2013,Anthony Bass,25,0,0,24,-0.1,5.36,6.64,20,0.341
2014,Anthony Bass,26,1,1,21,-1.0,6.33,2.33,7,0.268
2015,Anthony Bass,27,0,0,33,0.3,4.5,6.33,20,0.303
2018,Anthony Bass,30,0,0,16,0.2,2.93,8.22,3,0.386
2019,Anthony Bass,31,2,4,44,0.6,3.56,8.06,17,0.203
2020,Anthony Bass,32,2,3,26,0.4,3.51,7.36,9,0.221
2021,Anthony Bass,33,3,9,70,-0.4,3.82,8.51,24,0.268
2022,Anthony Bass,34,4,3,73,1.3,1.54,9.34,20,0.256
