Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2010,Aroldis Chapman,22,2,2,15,0.6,2.03,12.83,5,0.333
2011,Aroldis Chapman,23,4,1,54,0.5,3.6,12.78,41,0.242
2012,Aroldis Chapman,24,5,5,68,3.2,1.51,15.32,23,0.252
2013,Aroldis Chapman,25,4,5,68,1.8,2.54,15.83,29,0.28
2014,Aroldis Chapman,26,0,3,54,2.8,2.0,17.67,24,0.29
2015,Aroldis Chapman,27,4,4,65,2.5,1.63,15.74,33,0.331
2016,Aroldis Chapman,28,4,1,59,2.7,1.55,13.97,18,0.268
2017,Aroldis Chapman,29,4,3,52,1.5,3.22,12.34,20,0.296
2018,Aroldis Chapman,30,3,0,55,1.8,2.45,16.31,30,0.268
2019,Aroldis Chapman,31,3,2,60,2.1,2.21,13.42,25,0.289
2020,Aroldis Chapman,32,1,1,13,0.3,3.09,16.97,4,0.25
2021,Aroldis Chapman,33,6,4,61,0.6,3.36,15.5,38,0.281
2022,Aroldis Chapman,34,4,4,43,-0.2,4.46,10.65,28,0.238
