Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Brad Boxberger,24,0,0,24,-0.1,2.6,10.73,18,0.297
2013,Brad Boxberger,25,0,1,18,-0.1,2.86,9.82,13,0.296
2014,Brad Boxberger,26,5,2,63,0.8,2.37,14.47,20,0.227
2015,Brad Boxberger,27,4,10,69,0.0,3.71,10.57,32,0.292
2016,Brad Boxberger,28,4,3,27,-0.3,4.81,8.14,19,0.294
2017,Brad Boxberger,29,4,4,30,0.3,3.38,12.27,11,0.292
2018,Brad Boxberger,30,3,7,60,-0.4,4.39,11.98,32,0.287
2019,Brad Boxberger,31,1,3,29,0.0,5.4,9.11,17,0.297
2020,Brad Boxberger,32,1,0,23,0.0,3.0,9.0,8,0.286
2021,Brad Boxberger,33,5,4,71,0.8,3.34,11.55,25,0.25
2022,Brad Boxberger,34,4,3,70,0.7,2.95,9.56,27,0.279
