Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2011,Brad Hand,21,1,8,12,-0.4,4.2,5.7,35,0.24
2013,Brad Hand,23,1,1,7,0.1,3.05,6.53,8,0.193
2014,Brad Hand,24,3,8,32,0.4,4.38,5.43,39,0.287
2015,Brad Hand,25,4,7,38,0.3,5.3,6.46,32,0.33
2016,Brad Hand,26,4,4,82,1.5,2.92,11.18,36,0.264
2017,Brad Hand,27,3,4,72,1.7,2.16,11.8,20,0.263
2018,Brad Hand,28,2,5,69,1.2,2.75,13.25,28,0.293
2019,Brad Hand,29,6,4,60,1.5,3.3,13.19,18,0.362
2020,Brad Hand,30,2,1,23,1.1,2.05,11.86,4,0.255
2021,Brad Hand,31,6,7,68,-0.1,3.9,8.49,26,0.267
2022,Brad Hand,32,3,2,55,0.3,2.8,7.6,23,0.271
