Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2008,Charlie Morton,24,4,8,16,0.0,6.15,5.79,41,0.29
2009,Charlie Morton,25,5,9,18,1.6,4.55,5.75,40,0.315
2010,Charlie Morton,26,2,12,17,-0.2,7.57,6.67,26,0.353
2011,Charlie Morton,27,10,10,29,2.0,3.83,5.77,77,0.32
2012,Charlie Morton,28,2,6,9,0.4,4.65,4.47,11,0.317
2013,Charlie Morton,29,7,4,20,1.4,3.26,6.59,36,0.306
2014,Charlie Morton,30,6,12,26,1.3,3.72,7.21,57,0.295
2015,Charlie Morton,31,9,9,23,0.7,4.81,6.7,41,0.309
2016,Charlie Morton,32,1,1,4,0.4,4.15,9.87,8,0.326
2017,Charlie Morton,33,14,7,25,3.1,3.62,10.0,50,0.294
2018,Charlie Morton,34,15,3,30,2.8,3.13,10.83,64,0.283
2019,Charlie Morton,35,16,6,33,6.0,3.05,11.1,57,0.298
2020,Charlie Morton,36,2,2,9,0.9,4.74,9.95,10,0.355
2021,Charlie Morton,37,14,6,33,4.5,3.34,10.47,58,0.267
2022,Charlie Morton,38,9,6,31,1.5,4.34,10.73,63,0.292
