Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Chris Archer,23,1,3,6,0.4,4.6,11.05,13,0.29
2013,Chris Archer,24,9,7,23,1.1,3.22,7.06,38,0.253
2014,Chris Archer,25,10,9,32,2.9,3.33,8.0,72,0.296
2015,Chris Archer,26,12,13,34,5.1,3.23,10.7,66,0.295
2016,Chris Archer,27,9,19,33,2.9,4.02,10.42,67,0.296
2017,Chris Archer,28,10,12,34,4.5,4.07,11.15,60,0.325
2018,Chris Archer,29,6,8,27,2.5,4.31,9.83,49,0.338
2019,Chris Archer,30,3,9,23,0.7,5.19,10.75,55,0.298
2021,Chris Archer,32,1,1,6,0.2,4.66,9.78,8,0.294
2022,Chris Archer,33,2,8,25,0.5,4.56,7.36,48,0.259
