Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2008,Clayton Kershaw,20,5,5,22,1.3,4.26,8.36,52,0.32
2009,Clayton Kershaw,21,8,8,31,4.1,2.79,9.74,91,0.269
2010,Clayton Kershaw,22,13,10,32,4.6,2.91,9.34,81,0.275
2011,Clayton Kershaw,23,21,5,33,7.3,2.28,9.57,54,0.269
2012,Clayton Kershaw,24,14,9,33,6.1,2.53,9.05,63,0.262
2013,Clayton Kershaw,25,16,9,33,7.2,1.83,8.85,52,0.251
2014,Clayton Kershaw,26,21,3,27,7.9,1.77,10.85,31,0.278
2015,Clayton Kershaw,27,16,7,33,8.6,2.13,11.64,42,0.281
2016,Clayton Kershaw,28,12,4,21,6.3,1.69,10.39,11,0.254
2017,Clayton Kershaw,29,18,4,27,4.3,2.31,10.39,30,0.267
2018,Clayton Kershaw,30,9,5,26,3.4,2.73,8.65,29,0.273
2019,Clayton Kershaw,31,16,5,29,3.6,3.03,9.54,41,0.262
2020,Clayton Kershaw,32,6,2,10,1.4,2.16,9.57,8,0.232
2021,Clayton Kershaw,33,10,8,22,3.4,3.55,10.65,21,0.289
2022,Clayton Kershaw,34,12,3,22,3.8,2.28,9.76,23,0.268
