Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Collin McHugh,25,0,4,8,-0.2,7.59,7.17,8,0.328
2013,Collin McHugh,26,0,4,7,-0.1,10.04,3.81,5,0.379
2014,Collin McHugh,27,11,9,25,3.0,2.73,9.14,41,0.259
2015,Collin McHugh,28,19,7,32,3.5,3.89,7.56,53,0.31
2016,Collin McHugh,29,13,10,33,2.7,4.34,8.63,54,0.338
2017,Collin McHugh,30,5,2,12,1.1,3.55,8.81,20,0.311
2018,Collin McHugh,31,6,2,58,1.3,1.99,11.7,21,0.248
2019,Collin McHugh,32,4,5,35,0.6,4.7,9.88,30,0.263
2021,Collin McHugh,34,6,1,37,1.8,1.55,10.41,12,0.288
2022,Collin McHugh,35,3,2,58,1.4,2.6,9.74,14,0.266
