Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Corey Kluber,26,2,5,12,0.8,5.14,7.71,18,0.342
2013,Corey Kluber,27,11,5,26,2.9,3.85,8.31,33,0.329
2014,Corey Kluber,28,18,9,34,7.2,2.44,10.27,51,0.316
2015,Corey Kluber,29,9,16,32,5.6,3.49,9.93,45,0.297
2016,Corey Kluber,30,18,9,32,4.9,3.14,9.5,57,0.271
2017,Corey Kluber,31,18,4,29,7.2,2.25,11.71,36,0.267
2018,Corey Kluber,32,20,7,33,5.5,2.89,9.29,34,0.276
2019,Corey Kluber,33,2,3,7,0.6,5.8,9.59,15,0.37
2021,Corey Kluber,35,5,3,16,1.4,3.83,9.23,33,0.31
2022,Corey Kluber,36,10,10,31,3.0,4.34,7.63,21,0.317
