Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2010,Craig Kimbrel,22,4,0,21,0.4,0.44,17.42,16,0.281
2011,Craig Kimbrel,23,4,3,79,2.8,2.1,14.84,32,0.315
2012,Craig Kimbrel,24,3,1,63,3.1,1.01,16.66,14,0.25
2013,Craig Kimbrel,25,4,3,68,2.2,1.21,13.16,20,0.263
2014,Craig Kimbrel,26,0,3,63,2.4,1.61,13.86,26,0.235
2015,Craig Kimbrel,27,4,2,61,1.3,2.58,13.2,22,0.276
2016,Craig Kimbrel,28,2,6,57,1.2,3.4,14.09,30,0.242
2017,Craig Kimbrel,29,5,0,67,3.2,1.43,16.43,14,0.26
2018,Craig Kimbrel,30,5,1,63,1.3,2.74,13.86,31,0.216
2019,Craig Kimbrel,31,0,4,23,-1.1,6.53,13.06,12,0.279
2020,Craig Kimbrel,32,0,1,18,0.1,5.28,16.43,12,0.32
2021,Craig Kimbrel,33,4,5,63,2.2,2.26,15.08,23,0.243
2022,Craig Kimbrel,34,6,7,63,0.9,3.75,10.8,28,0.311
