Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2009,Craig Stammen,25,4,7,19,0.8,5.11,4.09,24,0.273
2010,Craig Stammen,26,4,4,35,1.0,5.13,5.98,41,0.327
2011,Craig Stammen,27,1,1,7,0.3,0.87,10.45,4,0.136
2012,Craig Stammen,28,6,1,59,0.8,2.34,8.86,36,0.265
2013,Craig Stammen,29,7,6,55,1.1,2.76,8.71,27,0.326
2014,Craig Stammen,30,4,5,49,0.6,3.84,6.94,14,0.323
2017,Craig Stammen,33,2,3,60,0.1,3.14,8.29,28,0.263
2018,Craig Stammen,34,8,3,73,2.2,2.73,10.03,17,0.301
2019,Craig Stammen,35,8,7,76,0.4,3.29,8.01,15,0.284
2020,Craig Stammen,36,4,2,24,0.3,5.63,7.5,4,0.325
2021,Craig Stammen,37,6,3,67,0.8,3.06,8.46,13,0.272
2022,Craig Stammen,38,1,2,33,-0.4,4.43,7.75,10,0.298
