Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Dallas Keuchel,24,3,8,16,-0.5,5.27,4.01,39,0.277
2013,Dallas Keuchel,25,6,10,31,1.1,5.15,7.2,52,0.34
2014,Dallas Keuchel,26,12,9,29,3.5,2.92,6.57,48,0.295
2015,Dallas Keuchel,27,20,8,33,5.7,2.48,8.38,51,0.269
2016,Dallas Keuchel,28,9,12,26,2.4,4.55,7.71,48,0.304
2017,Dallas Keuchel,29,14,5,23,2.3,2.9,7.72,47,0.256
2018,Dallas Keuchel,30,12,11,34,3.2,3.74,6.73,58,0.3
2019,Dallas Keuchel,31,8,8,19,0.8,3.75,7.27,39,0.298
2020,Dallas Keuchel,32,6,2,11,1.8,1.99,5.97,17,0.255
2021,Dallas Keuchel,33,9,9,32,0.7,5.28,5.28,59,0.307
2022,Dallas Keuchel,34,2,9,14,-0.3,9.2,6.68,31,0.384
