Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2009,Daniel Hudson,22,1,1,6,0.1,3.38,6.75,9,0.236
2010,Daniel Hudson,23,8,2,14,2.3,2.45,7.93,27,0.241
2011,Daniel Hudson,24,16,12,33,4.2,3.49,6.85,50,0.295
2012,Daniel Hudson,25,3,2,9,0.0,7.35,7.35,12,0.368
2015,Daniel Hudson,28,4,3,64,0.8,3.86,9.44,25,0.305
2016,Daniel Hudson,29,3,2,70,0.7,5.22,8.65,22,0.331
2017,Daniel Hudson,30,2,7,71,0.2,4.38,9.63,33,0.313
2018,Daniel Hudson,31,3,2,40,-0.1,4.11,8.61,18,0.256
2019,Daniel Hudson,32,9,3,69,0.9,2.47,8.75,27,0.247
2020,Daniel Hudson,33,3,2,21,-0.4,6.1,12.19,11,0.205
2021,Daniel Hudson,34,5,3,54,1.1,3.31,13.06,16,0.288
2022,Daniel Hudson,35,2,3,25,0.8,2.22,11.1,5,0.271
