Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2008,Darren O'Day,25,0,1,30,0.3,4.57,6.02,14,0.324
2009,Darren O'Day,26,2,1,68,1.2,1.84,8.59,18,0.252
2010,Darren O'Day,27,6,2,72,1.1,2.03,6.53,12,0.22
2011,Darren O'Day,28,0,1,16,-0.5,5.4,9.72,5,0.238
2012,Darren O'Day,29,7,1,69,1.4,2.28,9.27,14,0.251
2013,Darren O'Day,30,5,3,68,0.7,2.18,8.56,15,0.248
2014,Darren O'Day,31,5,2,68,0.9,1.7,9.57,19,0.218
2015,Darren O'Day,32,6,2,68,1.8,1.52,11.3,14,0.278
2016,Darren O'Day,33,3,1,34,0.1,3.77,11.03,13,0.26
2017,Darren O'Day,34,2,3,64,0.8,3.43,11.34,24,0.256
2018,Darren O'Day,35,0,2,20,0.4,3.6,12.15,4,0.326
2020,Darren O'Day,37,4,0,19,0.3,1.1,12.12,5,0.194
2021,Darren O'Day,38,0,0,12,0.0,3.38,9.28,4,0.25
2022,Darren O'Day,39,2,2,28,0.0,4.15,10.8,10,0.296
