Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Luis Garcia,26,1,1,24,-0.4,3.73,6.61,23,0.273
2014,Luis Garcia,27,1,0,13,-0.2,6.43,7.71,13,0.286
2015,Luis Garcia,28,4,6,72,0.5,3.51,8.51,37,0.34
2016,Luis Garcia,29,1,1,17,0.0,6.46,8.22,8,0.373
2017,Luis Garcia,30,2,5,66,1.3,2.65,7.57,26,0.282
2018,Luis Garcia,31,3,1,59,0.6,6.07,9.98,18,0.354
2019,Luis Garcia,32,2,1,64,-0.5,4.35,8.27,33,0.282
2020,Luis Garcia,23,0,1,5,0.1,2.92,6.57,5,0.182
2021,Luis Garcia,24,11,8,30,3.1,3.48,9.68,50,0.289
2021,Luis Garcia,34,1,1,34,0.7,3.24,9.18,8,0.256
2022,Luis Garcia,25,15,8,28,2.1,3.72,8.98,47,0.26
2022,Luis Garcia,35,4,6,64,1.6,3.39,10.03,17,0.325
