Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2008,David Price,22,0,0,5,0.2,1.93,7.71,4,0.205
2009,David Price,23,10,7,23,1.1,4.42,7.15,54,0.268
2010,David Price,24,19,6,32,4.3,2.72,8.11,79,0.27
2011,David Price,25,12,13,34,4.8,3.49,8.75,63,0.281
2012,David Price,26,20,5,31,4.3,2.56,8.74,59,0.285
2013,David Price,27,10,8,27,4.0,3.33,7.28,27,0.298
2014,David Price,28,15,12,34,5.6,3.26,9.82,38,0.306
2015,David Price,29,18,5,32,6.7,2.45,9.19,47,0.29
2016,David Price,30,17,9,35,4.4,3.99,8.92,50,0.31
2017,David Price,31,6,3,16,1.5,3.37,9.16,24,0.278
2018,David Price,32,16,7,30,2.4,3.58,9.05,50,0.274
2019,David Price,33,7,5,22,2.3,4.28,10.73,32,0.336
2021,David Price,35,5,2,39,0.7,4.03,7.09,26,0.309
2022,David Price,36,2,0,40,0.1,2.45,8.26,9,0.278
