Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2008,David Robertson,23,4,0,25,0.2,5.34,10.68,15,0.338
2009,David Robertson,24,2,1,45,0.8,3.3,12.98,23,0.32
2010,David Robertson,25,4,5,64,0.7,3.82,10.42,33,0.335
2011,David Robertson,26,4,0,70,2.3,1.08,13.5,35,0.289
2012,David Robertson,27,2,7,65,1.5,2.67,12.02,19,0.331
2013,David Robertson,28,5,1,70,1.4,2.04,10.45,18,0.288
2014,David Robertson,29,4,5,63,1.4,3.08,13.43,23,0.288
2015,David Robertson,30,6,5,60,1.7,3.41,12.22,13,0.273
2016,David Robertson,31,5,3,62,1.0,3.47,10.83,32,0.307
2017,David Robertson,32,9,2,61,1.9,1.84,12.91,23,0.216
2018,David Robertson,33,8,3,69,1.4,3.23,11.76,26,0.245
2021,David Robertson,36,0,0,12,0.1,4.5,12.0,4,0.321
2022,David Robertson,37,4,3,58,0.7,2.4,11.45,35,0.237
