Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Gerrit Cole,22,10,7,19,2.4,3.22,7.67,28,0.308
2014,Gerrit Cole,23,11,5,22,2.1,3.65,9.0,40,0.311
2015,Gerrit Cole,24,19,8,32,5.1,2.6,8.74,44,0.304
2016,Gerrit Cole,25,7,10,21,2.5,3.88,7.6,36,0.345
2017,Gerrit Cole,26,12,12,33,3.4,4.26,8.69,55,0.298
2018,Gerrit Cole,27,15,5,32,5.9,2.88,12.4,64,0.286
2019,Gerrit Cole,28,20,5,33,7.5,2.5,13.82,48,0.275
2020,Gerrit Cole,29,7,3,12,1.4,2.84,11.59,17,0.242
2021,Gerrit Cole,30,16,8,30,5.2,3.23,12.06,41,0.305
2022,Gerrit Cole,31,13,8,33,3.3,3.5,11.53,50,0.268
