Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2007,Ian Kennedy,22,1,0,3,0.4,1.89,7.11,9,0.231
2008,Ian Kennedy,23,0,4,10,-0.2,8.17,6.13,26,0.333
2010,Ian Kennedy,25,9,10,32,1.7,3.8,7.79,70,0.256
2011,Ian Kennedy,26,21,4,33,4.4,2.88,8.03,55,0.27
2012,Ian Kennedy,27,15,12,33,2.4,4.02,8.08,55,0.306
2013,Ian Kennedy,28,7,10,31,0.5,4.91,8.09,73,0.295
2014,Ian Kennedy,29,13,13,33,2.8,3.63,9.27,70,0.315
2015,Ian Kennedy,30,9,15,30,0.4,4.28,9.3,52,0.301
2016,Ian Kennedy,31,11,11,33,2.0,3.68,8.46,66,0.268
2017,Ian Kennedy,32,5,13,30,-0.1,5.38,7.66,61,0.257
2018,Ian Kennedy,33,3,9,22,1.1,4.66,7.9,40,0.298
2019,Ian Kennedy,34,3,2,63,1.5,3.41,10.37,17,0.343
2020,Ian Kennedy,35,0,2,15,-0.6,9.0,9.64,5,0.317
2021,Ian Kennedy,36,3,1,55,0.0,3.2,9.91,17,0.244
2022,Ian Kennedy,37,4,7,57,-0.9,5.36,7.87,22,0.299
