Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Jake Diekman,25,1,1,32,0.2,3.95,11.52,20,0.333
2013,Jake Diekman,26,1,4,45,0.7,2.58,9.63,16,0.311
2014,Jake Diekman,27,5,5,73,1.4,3.8,12.68,35,0.363
2015,Jake Diekman,28,2,1,67,0.5,4.01,10.65,31,0.316
2016,Jake Diekman,29,4,2,66,0.8,3.4,10.02,26,0.248
2017,Jake Diekman,30,0,0,11,0.0,2.53,10.97,10,0.143
2018,Jake Diekman,31,1,2,71,0.6,4.73,11.14,31,0.331
2019,Jake Diekman,32,1,7,76,1.0,4.65,12.19,39,0.317
2020,Jake Diekman,33,2,0,21,0.5,0.42,13.08,12,0.179
2021,Jake Diekman,34,3,3,67,-0.1,3.86,12.31,34,0.282
2022,Jake Diekman,35,5,4,70,-0.6,4.99,12.33,42,0.328
