Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Jake Odorizzi,23,0,1,7,0.3,3.94,6.67,8,0.287
2014,Jake Odorizzi,24,11,13,31,1.8,4.13,9.32,59,0.295
2015,Jake Odorizzi,25,9,9,28,2.9,3.35,7.97,46,0.271
2016,Jake Odorizzi,26,10,6,33,1.8,3.69,7.96,54,0.271
2017,Jake Odorizzi,27,10,8,28,0.0,4.14,7.97,61,0.227
2018,Jake Odorizzi,28,7,10,32,2.5,4.49,8.87,70,0.29
2019,Jake Odorizzi,29,15,7,30,4.3,3.51,10.08,53,0.302
2020,Jake Odorizzi,30,0,1,4,0.0,6.59,7.9,3,0.3
2021,Jake Odorizzi,31,6,7,24,1.1,4.21,7.82,34,0.273
2022,Jake Odorizzi,32,6,6,22,1.3,4.4,7.28,35,0.292
