Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2011,Javy Guerra,25,2,2,47,0.5,2.31,7.33,18,0.261
2012,Javy Guerra,26,2,3,45,0.5,2.6,7.4,23,0.321
2013,Javy Guerra,27,0,0,9,0.0,6.75,10.13,6,0.4
2014,Javy Guerra,28,2,4,42,0.1,2.91,7.38,20,0.288
2017,Javy Guerra,31,1,1,16,0.1,3.0,5.14,7,0.313
2018,Javy Guerra,32,1,1,32,0.0,5.55,7.57,12,0.336
2019,Javy Guerra,33,3,1,51,0.4,4.66,7.58,17,0.282
2020,Javy Guerra,24,1,0,14,0.1,10.13,8.1,5,0.5
2020,Javy Guerra,34,0,0,14,0.0,4.02,7.47,7,0.354
2022,Javy Guerra,26,2,1,18,-0.3,5.0,5.0,11,0.228
