Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Jeurys Familia,22,0,0,8,0.0,5.84,7.3,9,0.303
2013,Jeurys Familia,23,0,0,9,-0.3,4.22,6.75,9,0.303
2014,Jeurys Familia,24,2,5,76,0.9,2.21,8.5,32,0.264
2015,Jeurys Familia,25,2,2,76,1.5,1.85,9.92,19,0.272
2016,Jeurys Familia,26,3,4,78,2.1,2.55,9.73,31,0.304
2017,Jeurys Familia,27,2,2,26,0.3,4.38,9.12,15,0.29
2018,Jeurys Familia,28,8,6,70,1.8,3.12,10.37,28,0.306
2019,Jeurys Familia,29,4,2,66,-0.2,5.7,9.45,42,0.346
2020,Jeurys Familia,30,2,0,25,-0.1,3.71,7.76,19,0.247
2021,Jeurys Familia,31,9,4,65,0.0,3.94,10.92,27,0.311
2022,Jeurys Familia,32,2,3,48,-0.3,6.09,8.32,22,0.386
