Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2009,Jhoulys Chacin,21,0,1,9,0.0,4.91,10.64,11,0.217
2010,Jhoulys Chacin,22,9,11,28,2.8,3.28,9.04,61,0.285
2011,Jhoulys Chacin,23,11,14,31,2.3,3.62,6.96,87,0.261
2012,Jhoulys Chacin,24,3,5,14,0.4,4.43,5.87,32,0.311
2013,Jhoulys Chacin,25,14,10,31,4.1,3.47,5.75,61,0.288
2014,Jhoulys Chacin,26,1,7,11,0.3,5.4,5.97,28,0.285
2015,Jhoulys Chacin,27,2,1,5,0.1,3.38,7.09,10,0.263
2016,Jhoulys Chacin,28,6,8,34,1.8,4.81,7.44,55,0.317
2017,Jhoulys Chacin,29,13,10,32,2.3,3.89,7.64,72,0.272
2018,Jhoulys Chacin,30,15,8,35,2.3,3.5,7.29,71,0.25
2019,Jhoulys Chacin,31,3,12,25,-0.1,6.01,8.8,46,0.307
2021,Jhoulys Chacin,33,3,2,46,0.2,4.34,6.58,28,0.242
2022,Jhoulys Chacin,34,4,2,35,-0.2,7.61,7.04,21,0.316
