Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Joe Kelly,24,5,7,24,0.7,3.53,6.31,36,0.306
2013,Joe Kelly,25,10,5,37,0.5,2.69,5.73,44,0.289
2014,Joe Kelly,26,6,4,17,0.3,4.2,6.17,42,0.274
2015,Joe Kelly,27,10,6,25,1.2,4.82,7.37,49,0.32
2016,Joe Kelly,28,4,0,20,0.4,5.18,10.8,24,0.358
2017,Joe Kelly,29,4,1,54,0.7,2.79,8.07,27,0.252
2018,Joe Kelly,30,4,2,73,0.6,4.39,9.32,32,0.301
2019,Joe Kelly,31,5,4,55,0.5,4.56,10.87,22,0.323
2020,Joe Kelly,32,0,0,12,0.1,1.8,8.1,7,0.308
2021,Joe Kelly,33,2,0,48,0.7,2.86,10.23,15,0.227
2022,Joe Kelly,34,1,3,43,0.5,6.08,12.89,23,0.382
