Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2007,Joe Smith,23,3,2,54,0.2,3.45,9.14,21,0.349
2008,Joe Smith,24,6,3,82,0.3,3.55,7.39,31,0.261
2009,Joe Smith,25,0,0,37,0.2,3.44,7.94,13,0.274
2010,Joe Smith,26,2,2,53,-0.2,3.83,7.2,24,0.239
2011,Joe Smith,27,3,3,71,1.3,2.01,6.04,21,0.258
2012,Joe Smith,28,7,4,72,0.8,2.96,7.12,25,0.253
2013,Joe Smith,29,6,2,70,0.5,2.29,7.71,23,0.282
2014,Joe Smith,30,7,2,76,1.0,1.81,8.2,15,0.214
2015,Joe Smith,31,5,5,70,0.9,3.58,7.85,19,0.317
2016,Joe Smith,32,2,5,54,-0.3,3.46,6.92,18,0.269
2017,Joe Smith,33,3,0,59,1.8,3.33,11.83,10,0.328
2018,Joe Smith,34,5,1,56,0.2,3.74,9.07,12,0.239
2019,Joe Smith,35,1,0,28,0.5,1.8,7.92,5,0.254
2021,Joe Smith,37,4,4,50,0.4,4.99,7.71,8,0.341
2022,Joe Smith,38,1,1,34,-0.9,4.61,5.6,9,0.295
