Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2008,Johnny Cueto,22,9,14,31,1.1,4.81,8.17,68,0.298
2009,Johnny Cueto,23,11,11,30,1.4,4.41,6.93,61,0.291
2010,Johnny Cueto,24,12,7,31,2.6,3.64,6.69,56,0.29
2011,Johnny Cueto,25,9,5,24,3.0,2.31,6.0,47,0.249
2012,Johnny Cueto,26,19,9,33,4.3,2.78,7.05,49,0.296
2013,Johnny Cueto,27,5,2,11,0.7,2.82,7.57,18,0.236
2014,Johnny Cueto,28,20,9,34,4.4,2.25,8.94,65,0.238
2015,Johnny Cueto,29,11,13,32,4.1,3.44,7.47,46,0.281
2016,Johnny Cueto,30,18,5,32,4.9,2.79,8.11,45,0.293
2017,Johnny Cueto,31,8,8,25,1.2,4.52,8.31,53,0.322
2018,Johnny Cueto,32,3,2,9,0.3,3.23,6.45,13,0.253
2019,Johnny Cueto,33,1,2,4,0.0,5.06,7.31,9,0.19
2020,Johnny Cueto,34,2,3,12,0.5,5.4,7.96,26,0.284
2021,Johnny Cueto,35,7,7,22,1.5,4.08,7.69,30,0.327
2022,Johnny Cueto,36,8,10,25,2.4,3.35,5.8,33,0.295
