Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2011,Jordan Lyles,20,2,8,20,0.4,5.36,6.41,26,0.307
2012,Jordan Lyles,21,5,12,25,0.8,5.09,6.3,42,0.301
2013,Jordan Lyles,22,7,9,27,0.5,5.59,5.91,49,0.314
2014,Jordan Lyles,23,7,4,22,1.4,4.33,6.39,46,0.295
2015,Jordan Lyles,24,2,5,10,0.9,5.14,5.51,19,0.329
2016,Jordan Lyles,25,4,5,40,0.2,5.83,4.91,28,0.317
2017,Jordan Lyles,26,1,5,38,-0.3,7.75,7.11,22,0.352
2018,Jordan Lyles,27,3,4,35,0.6,4.11,8.62,28,0.291
2019,Jordan Lyles,28,12,8,28,1.6,4.15,9.32,55,0.285
2020,Jordan Lyles,29,1,6,12,-0.2,7.02,5.62,23,0.285
2021,Jordan Lyles,30,10,13,32,0.1,5.15,7.3,56,0.299
2022,Jordan Lyles,31,12,11,32,1.4,4.42,7.24,52,0.313
