Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2007,Justin Verlander,24,18,6,32,3.7,3.66,8.17,67,0.279
2008,Justin Verlander,25,11,17,33,3.2,4.84,7.3,87,0.296
2009,Justin Verlander,26,19,9,35,8.4,3.45,10.09,63,0.319
2010,Justin Verlander,27,18,9,33,6.7,3.37,8.79,71,0.286
2011,Justin Verlander,28,24,5,34,6.5,2.4,8.96,57,0.236
2012,Justin Verlander,29,17,8,33,6.9,2.64,9.03,60,0.273
2013,Justin Verlander,30,13,12,34,4.8,3.46,8.95,75,0.316
2014,Justin Verlander,31,15,12,32,3.2,4.54,6.95,65,0.317
2015,Justin Verlander,32,5,8,20,3.1,3.37,7.63,32,0.267
2016,Justin Verlander,33,16,9,34,5.4,3.04,10.04,57,0.255
2017,Justin Verlander,34,15,8,33,4.1,3.36,9.57,72,0.271
2018,Justin Verlander,35,16,9,34,6.6,2.52,12.2,37,0.272
2019,Justin Verlander,36,21,6,34,6.4,2.58,12.11,42,0.218
2022,Justin Verlander,39,18,4,28,6.1,1.75,9.51,29,0.24
