Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2010,Kenley Jansen,22,1,0,25,0.9,0.67,13.67,15,0.231
2011,Kenley Jansen,23,2,1,51,1.6,2.85,16.1,26,0.297
2012,Kenley Jansen,24,5,3,65,2.1,2.35,13.71,22,0.221
2013,Kenley Jansen,25,4,3,75,2.4,1.88,13.03,18,0.273
2014,Kenley Jansen,26,2,3,68,2.2,2.76,13.91,19,0.35
2015,Kenley Jansen,27,2,1,54,1.6,2.41,13.76,8,0.26
2016,Kenley Jansen,28,3,2,71,3.1,1.83,13.63,11,0.238
2017,Kenley Jansen,29,5,0,65,3.4,1.32,14.36,7,0.289
2018,Kenley Jansen,30,1,5,69,0.3,3.01,10.3,17,0.234
2019,Kenley Jansen,31,5,3,62,1.3,3.71,11.43,16,0.273
2020,Kenley Jansen,32,3,1,27,0.6,3.33,12.21,9,0.309
2021,Kenley Jansen,33,4,4,69,1.8,2.22,11.22,36,0.213
2022,Kenley Jansen,34,5,2,65,1.1,3.38,11.95,22,0.259
