Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Kevin Gausman,22,3,5,20,0.4,5.66,9.25,13,0.328
2014,Kevin Gausman,23,7,7,20,2.0,3.57,6.99,38,0.304
2015,Kevin Gausman,24,4,7,25,1.5,4.25,8.25,29,0.288
2016,Kevin Gausman,25,9,12,30,3.1,3.61,8.72,47,0.308
2017,Kevin Gausman,26,11,12,34,2.6,4.68,8.63,71,0.336
2018,Kevin Gausman,27,10,11,31,2.3,3.92,7.25,50,0.299
2019,Kevin Gausman,28,3,9,31,1.6,5.72,10.03,32,0.344
2020,Kevin Gausman,29,3,3,12,1.6,3.62,11.92,16,0.296
2021,Kevin Gausman,30,14,6,33,4.8,2.81,10.64,50,0.274
2022,Kevin Gausman,31,12,10,31,5.7,3.35,10.56,28,0.363
