Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Kyle Gibson,25,2,4,10,-0.1,6.53,5.12,20,0.35
2014,Kyle Gibson,26,13,12,31,2.7,4.47,5.37,57,0.287
2015,Kyle Gibson,27,11,11,32,2.8,3.84,6.7,65,0.287
2016,Kyle Gibson,28,6,11,25,1.3,5.07,6.35,55,0.33
2017,Kyle Gibson,29,12,10,29,1.0,5.07,6.89,60,0.328
2018,Kyle Gibson,30,10,13,32,2.6,3.62,8.19,79,0.285
2019,Kyle Gibson,31,13,7,34,2.6,4.84,9.0,56,0.33
2020,Kyle Gibson,32,2,6,12,0.2,5.35,7.75,30,0.313
2021,Kyle Gibson,33,10,9,31,3.0,3.71,7.66,64,0.276
2022,Kyle Gibson,34,10,8,31,1.8,5.05,7.73,48,0.308
