Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2011,Lance Lynn,24,1,1,18,0.5,3.12,10.38,11,0.272
2012,Lance Lynn,25,18,7,35,2.6,3.78,9.2,64,0.321
2013,Lance Lynn,26,15,10,33,3.3,3.97,8.84,76,0.314
2014,Lance Lynn,27,15,10,33,3.6,2.74,8.0,72,0.29
2015,Lance Lynn,28,12,11,31,3.0,3.03,8.57,68,0.319
2017,Lance Lynn,30,11,8,33,1.2,3.43,7.39,78,0.244
2018,Lance Lynn,31,10,10,31,2.8,4.77,9.25,76,0.336
2019,Lance Lynn,32,16,11,33,6.8,3.67,10.63,59,0.322
2020,Lance Lynn,33,6,3,13,1.4,3.32,9.54,25,0.242
2021,Lance Lynn,34,11,6,28,4.2,2.69,10.09,45,0.263
2022,Lance Lynn,35,8,7,21,1.9,3.99,9.17,19,0.294
