Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2011,Liam Hendriks,22,0,2,4,0.2,6.17,6.17,6,0.347
2012,Liam Hendriks,23,1,8,16,-0.1,5.59,5.27,26,0.313
2013,Liam Hendriks,24,1,3,10,-0.1,6.85,6.46,14,0.35
2014,Liam Hendriks,25,1,2,9,0.4,5.23,6.34,7,0.327
2015,Liam Hendriks,26,5,0,58,1.5,2.92,9.88,11,0.322
2016,Liam Hendriks,27,0,4,53,1.4,3.76,9.88,14,0.344
2017,Liam Hendriks,28,4,2,70,1.0,4.22,10.97,23,0.303
2018,Liam Hendriks,29,0,1,25,0.1,4.13,8.25,10,0.324
2019,Liam Hendriks,30,4,4,75,3.9,1.8,13.13,21,0.311
2020,Liam Hendriks,31,3,1,24,1.4,1.78,13.14,3,0.255
2021,Liam Hendriks,32,8,3,69,2.7,2.54,14.32,7,0.252
2022,Liam Hendriks,33,4,4,58,1.6,2.81,13.27,16,0.296
