Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2009,Madison Bumgarner,19,0,0,4,0.0,1.8,9.0,3,0.24
2010,Madison Bumgarner,20,7,6,18,1.7,3.0,6.97,26,0.314
2011,Madison Bumgarner,21,13,13,33,4.4,3.21,8.4,46,0.322
2012,Madison Bumgarner,22,16,11,32,2.7,3.37,8.25,49,0.276
2013,Madison Bumgarner,23,13,9,31,3.5,2.77,8.9,62,0.251
2014,Madison Bumgarner,24,18,10,33,3.6,2.98,9.07,43,0.296
2015,Madison Bumgarner,25,18,9,32,4.9,2.93,9.65,39,0.282
2016,Madison Bumgarner,26,15,9,34,4.3,2.74,9.97,54,0.265
2017,Madison Bumgarner,27,4,9,17,1.6,3.32,8.19,20,0.272
2018,Madison Bumgarner,28,6,7,21,1.5,3.26,7.57,43,0.274
2019,Madison Bumgarner,29,9,9,34,3.3,3.9,8.8,43,0.289
2020,Madison Bumgarner,30,1,4,9,-0.6,6.48,6.48,13,0.266
2021,Madison Bumgarner,31,7,10,26,1.5,4.67,7.63,39,0.265
2022,Madison Bumgarner,32,7,15,30,0.5,4.88,6.35,49,0.306
