Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2009,Mark Melancon,24,0,1,13,0.0,3.86,5.51,10,0.26
2010,Mark Melancon,25,2,0,22,0.3,4.22,9.28,8,0.298
2011,Mark Melancon,26,8,4,71,0.8,2.78,7.99,26,0.286
2012,Mark Melancon,27,0,2,41,-0.2,6.2,8.2,12,0.285
2013,Mark Melancon,28,3,2,72,2.5,1.39,8.87,8,0.296
2014,Mark Melancon,29,3,5,72,1.9,1.9,9.0,11,0.258
2015,Mark Melancon,30,3,2,78,1.4,2.23,7.28,14,0.251
2016,Mark Melancon,31,2,2,75,1.8,1.64,8.2,12,0.259
2017,Mark Melancon,32,1,2,32,0.4,4.5,8.7,6,0.374
2018,Mark Melancon,33,1,4,41,0.4,3.23,7.15,14,0.365
2019,Mark Melancon,34,5,2,66,1.3,3.61,9.09,18,0.349
2020,Mark Melancon,35,2,1,23,0.3,2.78,5.56,7,0.296
2021,Mark Melancon,36,4,3,64,1.1,2.23,8.21,25,0.284
2022,Mark Melancon,37,3,10,62,0.1,4.66,5.63,21,0.314
