Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Martin Perez,21,1,4,12,0.4,5.45,5.92,15,0.333
2013,Martin Perez,22,10,6,20,1.4,3.62,6.08,37,0.292
2014,Martin Perez,23,4,3,8,0.7,4.38,6.14,19,0.315
2015,Martin Perez,24,3,6,14,1.7,4.46,5.49,24,0.324
2016,Martin Perez,25,10,11,33,2.3,4.39,4.67,76,0.286
2017,Martin Perez,26,13,12,32,2.2,4.82,5.59,63,0.328
2018,Martin Perez,27,2,7,22,-0.1,6.22,5.48,36,0.344
2019,Martin Perez,28,10,7,32,1.9,5.12,7.35,67,0.316
2020,Martin Perez,29,3,5,12,0.4,4.5,6.68,28,0.266
2021,Martin Perez,30,7,8,36,0.6,4.74,7.66,36,0.336
2022,Martin Perez,31,12,8,32,3.8,2.89,7.75,69,0.295
