Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Matt Moore,23,11,11,31,2.4,3.81,8.88,81,0.293
2013,Matt Moore,24,17,4,27,1.7,3.29,8.56,76,0.259
2014,Matt Moore,25,0,2,2,0.0,2.7,5.4,5,0.281
2015,Matt Moore,26,3,4,12,0.3,5.43,6.57,23,0.332
2016,Matt Moore,27,13,12,33,2.0,4.08,8.08,72,0.285
2017,Matt Moore,28,6,15,32,1.0,5.52,7.64,67,0.32
2018,Matt Moore,29,3,8,39,0.2,6.79,7.59,41,0.341
2019,Matt Moore,30,0,0,2,0.5,0.0,8.1,1,0.13
2021,Matt Moore,32,2,4,24,-0.2,6.29,7.77,38,0.292
2022,Matt Moore,33,5,2,63,1.3,1.95,10.09,38,0.257
