Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2008,Max Scherzer,23,0,4,16,1.1,3.05,10.61,21,0.307
2009,Max Scherzer,24,9,11,30,2.7,4.12,9.19,63,0.308
2010,Max Scherzer,25,12,11,31,4.0,3.5,8.46,70,0.297
2011,Max Scherzer,26,15,9,33,2.3,4.43,8.03,56,0.314
2012,Max Scherzer,27,16,7,32,4.5,3.74,11.08,60,0.333
2013,Max Scherzer,28,21,3,32,5.9,2.9,10.08,56,0.259
2014,Max Scherzer,29,18,5,33,5.6,3.15,10.29,63,0.315
2015,Max Scherzer,30,14,12,33,6.5,2.79,10.86,34,0.268
2016,Max Scherzer,31,20,7,34,5.6,2.96,11.19,56,0.255
2017,Max Scherzer,32,16,6,31,6.4,2.51,12.02,55,0.245
2018,Max Scherzer,33,18,7,33,7.5,2.53,12.24,51,0.265
2019,Max Scherzer,34,11,7,27,6.5,2.92,12.69,33,0.321
2020,Max Scherzer,35,5,4,12,1.8,3.74,12.3,23,0.355
2021,Max Scherzer,36,15,4,30,5.4,2.46,11.84,36,0.247
2022,Max Scherzer,37,11,5,23,4.4,2.29,10.71,24,0.276
