Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Michael Wacha,21,4,1,15,1.2,2.78,9.05,19,0.275
2014,Michael Wacha,22,5,6,19,1.9,3.2,7.91,33,0.288
2015,Michael Wacha,23,17,7,30,2.2,3.37,7.59,58,0.272
2016,Michael Wacha,24,7,7,27,1.8,5.09,7.43,45,0.334
2017,Michael Wacha,25,12,9,30,3.1,4.13,8.58,55,0.327
2018,Michael Wacha,26,8,2,15,0.8,3.2,7.58,36,0.249
2019,Michael Wacha,27,6,7,29,-0.3,4.76,7.39,55,0.313
2020,Michael Wacha,28,1,4,8,0.0,6.62,9.79,7,0.366
2021,Michael Wacha,29,3,5,29,1.1,5.05,8.74,31,0.312
2022,Michael Wacha,30,11,2,23,1.5,3.32,7.35,31,0.26
