Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2010,Mike Minor,22,3,2,9,0.5,5.98,9.52,11,0.379
2011,Mike Minor,23,5,3,15,1.1,4.14,8.38,30,0.35
2012,Mike Minor,24,11,10,30,0.7,4.12,7.28,56,0.252
2013,Mike Minor,25,13,9,32,3.4,3.21,7.96,46,0.272
2014,Mike Minor,26,6,12,25,0.4,4.77,7.43,44,0.323
2017,Mike Minor,29,6,6,65,2.2,2.55,10.2,22,0.272
2018,Mike Minor,30,12,8,28,2.5,4.18,7.57,38,0.259
2019,Mike Minor,31,14,10,32,4.1,3.59,8.64,68,0.287
2020,Mike Minor,32,1,6,12,0.8,5.56,9.85,20,0.269
2021,Mike Minor,33,8,12,28,2.3,5.05,8.45,41,0.29
2022,Mike Minor,34,4,12,19,-0.4,6.06,6.98,40,0.312
