Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Patrick Corbin,22,6,8,22,1.0,4.54,7.23,25,0.317
2013,Patrick Corbin,23,14,8,32,3.3,3.41,7.69,54,0.283
2015,Patrick Corbin,25,6,5,16,1.7,3.6,8.26,17,0.327
2016,Patrick Corbin,26,5,13,36,0.7,5.15,7.57,66,0.322
2017,Patrick Corbin,27,14,13,33,3.0,4.03,8.45,61,0.326
2018,Patrick Corbin,28,11,7,33,5.8,3.15,11.07,48,0.302
2019,Patrick Corbin,29,14,7,33,4.7,3.25,10.6,70,0.29
2020,Patrick Corbin,30,2,7,11,1.2,4.66,8.22,18,0.362
2021,Patrick Corbin,31,9,16,31,0.2,5.82,7.5,60,0.305
2022,Patrick Corbin,32,6,19,31,0.8,6.31,7.55,49,0.365
