Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2007,Rich Hill,27,11,8,32,3.1,3.92,8.45,63,0.271
2008,Rich Hill,28,1,0,5,0.0,4.12,6.86,18,0.208
2009,Rich Hill,29,3,3,14,0.5,7.8,7.18,40,0.337
2012,Rich Hill,32,1,0,25,0.3,1.83,9.61,11,0.333
2013,Rich Hill,33,1,2,63,0.2,6.28,11.87,29,0.361
2015,Rich Hill,35,2,1,4,1.2,1.55,11.17,5,0.197
2016,Rich Hill,36,12,5,20,3.9,2.12,10.52,33,0.275
2017,Rich Hill,37,12,8,25,2.3,3.32,11.01,49,0.261
2018,Rich Hill,38,11,5,25,1.7,3.66,10.18,41,0.268
2019,Rich Hill,39,4,1,13,0.9,2.45,11.05,18,0.275
2020,Rich Hill,40,2,2,8,0.7,3.03,7.22,17,0.24
2021,Rich Hill,41,7,8,32,1.7,3.86,8.51,55,0.277
2022,Rich Hill,42,8,7,26,1.8,4.27,7.89,37,0.305
