Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2009,Ross Detwiler,23,1,6,15,1.3,5.0,5.11,33,0.323
2010,Ross Detwiler,24,1,3,8,-0.3,4.25,5.16,14,0.296
2011,Ross Detwiler,25,4,5,15,0.3,3.0,5.59,20,0.272
2012,Ross Detwiler,26,10,8,33,1.6,3.4,5.75,52,0.263
2013,Ross Detwiler,27,2,7,13,1.0,4.04,4.92,14,0.344
2014,Ross Detwiler,28,2,3,47,-0.1,4.0,5.57,21,0.309
2015,Ross Detwiler,29,1,5,41,-0.9,7.25,6.33,36,0.369
2016,Ross Detwiler,30,2,4,16,0.3,6.1,4.81,19,0.32
2019,Ross Detwiler,33,3,5,18,-0.5,6.59,5.94,27,0.301
2020,Ross Detwiler,34,1,1,16,0.2,3.2,6.86,5,0.293
2021,Ross Detwiler,35,3,1,53,-0.2,4.64,10.66,20,0.264
2022,Ross Detwiler,36,0,2,30,-0.1,4.44,9.57,10,0.342
