Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Ryan Pressly,24,3,3,49,0.4,3.87,5.75,27,0.282
2014,Ryan Pressly,25,2,0,25,-0.1,2.86,4.45,8,0.281
2015,Ryan Pressly,26,3,2,27,0.5,2.93,7.16,12,0.318
2016,Ryan Pressly,27,6,7,72,1.0,3.7,8.0,23,0.311
2017,Ryan Pressly,28,2,3,57,0.1,4.7,8.95,19,0.264
2018,Ryan Pressly,29,2,1,77,1.8,2.54,12.8,22,0.319
2019,Ryan Pressly,30,2,3,55,1.6,2.32,11.93,12,0.256
2020,Ryan Pressly,31,1,3,23,0.7,3.43,12.43,7,0.365
2021,Ryan Pressly,32,5,3,64,2.4,2.25,11.39,13,0.296
2022,Ryan Pressly,33,3,3,50,1.4,2.98,12.1,13,0.26
